# generation_params: repair_time: uniform(min=1, max=4) | priority: normal(min=1, max=10, mean=8, std=1.5)
job_id,repair_type,repair_time_hours,priority
J1,Suspension noise diagnosis,2,10
J2,Oil change,3,8
J3,Oil change,3,8
J4,Tire pressure sensor reset,4,10
J5,Battery replacement,2,9
J6,Suspension noise diagnosis,2,6
J7,Suspension noise diagnosis,2,9
J8,Suspension noise diagnosis,3,10
J9,Brake pad replacement,4,7
J10,ABS warning light diagnosis,2,5
J11,Tire replacement,2,8
J12,Oil change,2,10
J13,Brake pad replacement,1,6
J14,Check engine light diagnosis,3,7
J15,Brake inspection,1,7
J16,Oil change,4,7
J17,Tire pressure sensor reset,2,10
J18,Oil change,3,8
J19,Brake pad replacement,4,8
J20,Wheel alignment,3,10
J21,Coolant system service,2,7
J22,Coolant system service,3,8
J23,Tire pressure sensor reset,3,7
J24,Wheel alignment,4,8
J25,Wheel alignment,3,7
J26,Oil change,2,10
J27,Engine diagnostic scan,3,8
J28,Wheel alignment,3,9
J29,Transmission inspection,2,6
J30,Battery replacement,3,4
J31,Tire pressure sensor reset,3,5
J32,Brake pad replacement,3,7
J33,Battery replacement,3,7
J34,Tire pressure sensor reset,2,8
J35,ABS warning light diagnosis,4,9
J36,Tire pressure sensor reset,3,9
J37,ABS warning light diagnosis,4,7
J38,Wheel alignment,2,9
J39,ABS warning light diagnosis,4,10
J40,Alternator inspection,3,7
J41,Wheel alignment,3,10
J42,Check engine light diagnosis,4,8
J43,Transmission inspection,3,10
J44,Alternator inspection,3,9
J45,Brake pad replacement,3,10
J46,Oil change,2,9
J47,Tire pressure sensor reset,4,9
J48,Spark plug replacement,2,7
J49,Battery replacement,3,9
J50,Tire pressure sensor reset,2,8
J51,ABS warning light diagnosis,3,6
J52,Check engine light diagnosis,2,5
J53,Brake pad replacement,3,9
J54,Brake inspection,3,10
J55,Engine diagnostic scan,3,8
J56,Wheel alignment,1,8
J57,Spark plug replacement,4,10
J58,Suspension noise diagnosis,2,8
J59,Spark plug replacement,3,7
J60,Battery replacement,2,5
J61,Brake inspection,4,6
J62,Tire replacement,3,10
J63,Check engine light diagnosis,3,10
J64,Tire replacement,4,10
J65,Suspension noise diagnosis,2,10
J66,ABS warning light diagnosis,2,8
J67,ABS warning light diagnosis,2,7
J68,Spark plug replacement,3,5
J69,Brake pad replacement,1,10
J70,Engine diagnostic scan,2,9
J71,Battery replacement,3,8
J72,Tire replacement,3,7
J73,Transmission inspection,3,10
J74,ABS warning light diagnosis,1,9
J75,ABS warning light diagnosis,3,5
J76,Oil change,4,6
J77,Oil change,2,9
J78,Oil change,3,8
J79,ABS warning light diagnosis,2,7
J80,Battery replacement,3,6
J81,Alternator inspection,3,8
J82,Tire pressure sensor reset,3,8
