# generation_params: repair_time: uniform(min=1, max=4) | priority: normal(min=1, max=10, mean=8, std=1.5)
job_id,repair_type,repair_time_hours,priority,scheduled
J1,Transmission inspection,3,7,
J2,Transmission inspection,2,10,
J3,Engine diagnostic scan,3,10,
J4,Engine diagnostic scan,1,10,
J5,Transmission inspection,4,10,
J6,Tire replacement,4,8,
J7,Spark plug replacement,2,10,
J8,Battery replacement,1,8,
J9,Tire pressure sensor reset,3,7,
J10,Suspension noise diagnosis,1,10,
J11,Brake pad replacement,2,7,
J12,Battery replacement,2,10,
J13,Oil change,4,7,
J14,Wheel alignment,2,10,
J15,Engine diagnostic scan,3,5,
J16,Brake inspection,1,8,
J17,Tire pressure sensor reset,2,8,
J18,Brake inspection,3,10,
J19,Tire pressure sensor reset,3,6,
J20,Tire replacement,4,8,
J21,Brake pad replacement,3,8,
J22,Brake pad replacement,1,8,
J23,ABS warning light diagnosis,1,8,
J24,Engine diagnostic scan,1,7,
J25,Alternator inspection,2,9,
J26,Coolant system service,4,8,
J27,Tire replacement,4,8,
J28,Check engine light diagnosis,3,10,
J29,Tire replacement,1,9,
J30,ABS warning light diagnosis,1,8,
J31,Tire pressure sensor reset,4,5,
J32,Brake inspection,1,10,
J33,Transmission inspection,2,7,
J34,Battery replacement,2,5,
J35,Brake inspection,1,9,
J36,Brake pad replacement,2,9,
J37,Transmission inspection,3,7,
J38,Tire replacement,4,10,
J39,Coolant system service,2,6,
J40,Spark plug replacement,1,7,
J41,Tire replacement,2,10,
J42,Battery replacement,2,6,
J43,Spark plug replacement,3,7,
J44,Check engine light diagnosis,2,9,
J45,ABS warning light diagnosis,3,7,
J46,Alternator inspection,2,5,
J47,Coolant system service,1,7,
J48,Check engine light diagnosis,1,7,
J49,Brake pad replacement,3,7,
J50,Check engine light diagnosis,4,6,
J51,Engine diagnostic scan,2,8,
J52,Check engine light diagnosis,2,8,
J53,Coolant system service,4,8,
J54,Tire replacement,1,9,
J55,Alternator inspection,4,9,
J56,Transmission inspection,3,9,
J57,Tire replacement,2,9,
J58,Wheel alignment,3,10,
J59,Tire replacement,3,7,
J60,Tire pressure sensor reset,3,8,
J61,Tire pressure sensor reset,4,8,
J62,Brake inspection,4,8,
J63,Check engine light diagnosis,2,7,
J64,Oil change,2,5,
J65,Coolant system service,2,8,
J66,Alternator inspection,1,8,
J67,Tire replacement,3,10,
J68,Alternator inspection,2,10,
J69,Transmission inspection,4,9,
J70,Oil change,2,8,
J71,Tire pressure sensor reset,2,6,
J72,Coolant system service,4,8,
J73,Check engine light diagnosis,3,8,
J74,Coolant system service,2,9,
J75,Spark plug replacement,3,5,
J76,Tire pressure sensor reset,1,8,
J77,Engine diagnostic scan,2,9,
J78,Coolant system service,3,7,
J79,Battery replacement,1,6,
J80,Tire replacement,3,8,
J81,Suspension noise diagnosis,2,9,
J82,Brake pad replacement,3,9,
J83,Check engine light diagnosis,3,7,
J84,Spark plug replacement,4,10,
J85,Check engine light diagnosis,4,10,
J86,Tire pressure sensor reset,4,6,
J87,Brake inspection,3,9,
J88,Engine diagnostic scan,3,6,
J89,Brake inspection,2,10,
J90,Alternator inspection,3,7,
J91,Tire pressure sensor reset,3,7,
J92,Spark plug replacement,2,10,
J93,Wheel alignment,1,8,
J94,Brake pad replacement,3,7,
J95,Tire replacement,2,6,
J96,Check engine light diagnosis,1,8,
J97,Suspension noise diagnosis,1,9,
J98,Oil change,4,7,
J99,Check engine light diagnosis,3,9,
J100,Coolant system service,2,8,
J101,Transmission inspection,1,9,
J102,Engine diagnostic scan,4,7,
J103,Transmission inspection,3,9,
J104,Brake pad replacement,2,10,
J105,Tire pressure sensor reset,3,7,
J106,Wheel alignment,1,8,
J107,Check engine light diagnosis,3,8,
J108,Spark plug replacement,3,9,
J109,Suspension noise diagnosis,4,9,
J110,ABS warning light diagnosis,1,7,
J111,Brake inspection,2,9,
J112,Check engine light diagnosis,2,9,
J113,Brake inspection,3,8,
J114,Wheel alignment,3,10,
J115,Coolant system service,2,7,
J116,Alternator inspection,1,9,
J117,Battery replacement,3,8,
J118,Brake pad replacement,3,8,
J119,Suspension noise diagnosis,3,9,
J120,Spark plug replacement,4,5,
J121,Transmission inspection,2,8,
J122,Oil change,4,10,
J123,Suspension noise diagnosis,2,10,
J124,Transmission inspection,1,7,
J125,Wheel alignment,2,6,
J126,Wheel alignment,3,8,
J127,Coolant system service,1,10,
J128,Alternator inspection,3,9,
J129,Alternator inspection,3,8,
J130,Brake pad replacement,3,8,
J131,Brake pad replacement,1,8,
J132,Tire replacement,1,6,
J133,Spark plug replacement,3,7,
J134,Tire replacement,3,7,
J135,Battery replacement,1,5,
J136,Battery replacement,3,4,
J137,Engine diagnostic scan,2,8,
J138,ABS warning light diagnosis,1,9,
J139,Engine diagnostic scan,2,9,
J140,Oil change,2,10,
J141,Tire pressure sensor reset,2,10,
J142,Oil change,3,7,
J143,Brake inspection,1,6,
J144,Engine diagnostic scan,3,9,
J145,Oil change,4,6,
J146,Transmission inspection,3,9,
J147,Alternator inspection,4,10,
J148,Suspension noise diagnosis,2,9,
J149,Tire pressure sensor reset,2,7,
J150,Coolant system service,3,7,
J151,Alternator inspection,3,8,
J152,Alternator inspection,1,9,
J153,Alternator inspection,2,10,
J154,Transmission inspection,3,8,
J155,Transmission inspection,2,8,
J156,ABS warning light diagnosis,2,8,
J157,Tire replacement,4,10,
J158,Suspension noise diagnosis,2,7,
J159,Check engine light diagnosis,3,8,
J160,Oil change,3,8,
J161,Spark plug replacement,3,10,
J162,Wheel alignment,4,6,
J163,Coolant system service,3,7,
J164,Coolant system service,4,9,
J165,ABS warning light diagnosis,2,9,
J166,Alternator inspection,2,7,
J167,Alternator inspection,4,9,
J168,ABS warning light diagnosis,2,9,
J169,Brake inspection,4,7,
J170,Coolant system service,2,9,
J171,Brake inspection,4,8,
J172,Engine diagnostic scan,3,10,
J173,Tire pressure sensor reset,3,8,
J174,Tire replacement,2,9,
J175,Suspension noise diagnosis,1,8,
J176,Wheel alignment,3,8,
J177,Transmission inspection,2,7,
J178,Oil change,3,6,
J179,Brake inspection,1,8,
J180,Oil change,3,7,
J181,Transmission inspection,4,8,
J182,Alternator inspection,2,9,
J183,Suspension noise diagnosis,4,5,
J184,Tire replacement,3,7,
J185,Suspension noise diagnosis,2,9,
J186,Tire replacement,2,9,
J187,Engine diagnostic scan,1,9,
J188,Engine diagnostic scan,1,8,
J189,Wheel alignment,3,9,
J190,Spark plug replacement,4,7,
J191,Engine diagnostic scan,3,9,
J192,Spark plug replacement,4,8,
J193,Brake pad replacement,3,7,
J194,Wheel alignment,4,6,
J195,Transmission inspection,3,8,
J196,ABS warning light diagnosis,3,5,
J197,ABS warning light diagnosis,3,6,
J198,Brake pad replacement,3,8,
J199,Tire pressure sensor reset,2,8,
J200,Brake pad replacement,2,9,
J201,ABS warning light diagnosis,3,8,
J202,Wheel alignment,3,9,
J203,Oil change,3,8,
J204,Battery replacement,2,7,
J205,Transmission inspection,4,10,
J206,Engine diagnostic scan,3,6,
J207,Oil change,3,6,
J208,Wheel alignment,2,8,
J209,Alternator inspection,2,9,
J210,Oil change,1,9,
J211,Wheel alignment,2,6,
J212,Suspension noise diagnosis,1,8,
J213,Coolant system service,2,6,
J214,Tire replacement,3,6,
J215,ABS warning light diagnosis,1,10,
J216,Tire pressure sensor reset,2,7,
J217,ABS warning light diagnosis,2,8,
J218,ABS warning light diagnosis,2,6,
J219,Tire replacement,2,7,
J220,ABS warning light diagnosis,2,10,
J221,Alternator inspection,3,8,
J222,Tire replacement,2,6,
J223,Wheel alignment,4,10,
J224,Oil change,2,8,
J225,Engine diagnostic scan,2,5,
J226,Wheel alignment,2,10,
J227,Oil change,3,9,
J228,Brake pad replacement,2,7,
J229,Spark plug replacement,3,7,
J230,Wheel alignment,2,10,
J231,Coolant system service,1,10,
J232,Suspension noise diagnosis,4,8,
J233,Tire replacement,2,10,
J234,Tire replacement,2,8,
J235,Transmission inspection,2,9,
J236,Brake inspection,3,9,
J237,Engine diagnostic scan,1,8,
J238,Coolant system service,4,7,
